trial,target_distance,response,subject,condition,Error
8,2,1,S008,Non-individualized HRTF,1
8,2,1,S009,Individualized HRTF,1
8,2,1,S009,Non-individualized HRTF,1
8,2,1,S012,Individualized HRTF,1
8,2,1,S012,Non-individualized HRTF,1
8,2,1,S014,Non-individualized HRTF,1
8,2,1,S015,Individualized HRTF,1
8,2,1,S015,Non-individualized HRTF,1
8,2,1,S016,Non-individualized HRTF,1
8,2,1,S017,Non-individualized HRTF,1
8,2,1,S019,Individualized HRTF,1
8,2,1,S019,Non-individualized HRTF,1
8,2,1,S023,Individualized HRTF,1
8,2,1,S023,Non-individualized HRTF,1
8,2,1,S024,Individualized HRTF,1
8,2,2,S001,Individualized HRTF,0
8,2,2,S001,Non-individualized HRTF,0
8,2,2,S002,Individualized HRTF,0
8,2,2,S003,Incongruous room,0
8,2,2,S006,Non-individualized HRTF,0
8,2,2,S007,Individualized HRTF,0
8,2,2,S007,Non-individualized HRTF,0
8,2,2,S010,Individualized HRTF,0
8,2,2,S011,Individualized HRTF,0
8,2,2,S011,Non-individualized HRTF,0
8,2,2,S014,Individualized HRTF,0
8,2,2,S016,Individualized HRTF,0
8,2,2,S018,Individualized HRTF,0
8,2,2,S021,Non-individualized HRTF,0
8,2,2,S024,Non-individualized HRTF,0
