subject,target_distance,condition,perc_dist,sd_perc_dist,sem_perc_dist,logperc_dist,logperc_dist_sem
S002,1,Real speakers,0.8,0.16329931618554522,0.08164965809277261,-0.09691001300805639,-1.0880456295278407
S002,1,Non-individualized HRTF,0.95,0.09999999999999998,0.04999999999999999,-0.022276394711152253,-1.3010299956639813
S002,2,Incongruous room,2,0.408248290463863,0.2041241452319315,0.3010299956639812,-0.690105620855803
S002,2,Closed headphones,0.725,0.5439056290693574,0.2719528145346787,-0.13966199342900631,-0.5655064421602466
S002,2,Individualized HRTF,1.9,0.4546060565661952,0.2273030282830976,0.2787536009528289,-0.6433947782746855
S002,2,Real speakers,1.575,0.29860788111948194,0.14930394055974097,0.19728055812561932,-0.8259287298451888
S002,2,Non-individualized HRTF,2.15,0.17320508075688762,0.08660254037844381,0.33243845991560533,-1.0624693683041502
S002,3,Incongruous room,2.7,0.725718035235908,0.362859017617954,0.43136376415898736,-0.44026207954660107
S002,3,Closed headphones,1.1,0.6164414002968976,0.3082207001484488,0.04139268515822508,-0.5111381973555761
S002,3,Individualized HRTF,2.8499999999999996,0.4932882862316248,0.2466441431158124,0.45484486000851015,-0.6079291929635844
S002,3,Real speakers,2.5,0.5773502691896257,0.28867513459481287,0.3979400086720376,-0.5395906230238124
S002,3,Non-individualized HRTF,3.45,1.0376254944182253,0.5188127472091126,0.5378190950732742,-0.284989361858261
S002,4,Incongruous room,3.25,0.6454972243679028,0.3227486121839514,0.5118833609788743,-0.4911356165197842
S002,4,Closed headphones,1.575,0.15000000000000002,0.07500000000000001,0.19728055812561932,-1.1249387366083
S002,4,Individualized HRTF,3.875,1.0307764064044151,0.5153882032022076,0.5882717068423291,-0.2878655263028066
S002,4,Real speakers,2.7,0.6782329983125268,0.3391164991562634,0.43136376415898736,-0.46965107982319415
S002,4,Non-individualized HRTF,4.2,0.8717797887081347,0.43588989435406733,0.6232492903979004,-0.36062319952358557
S002,5,Incongruous room,2.375,0.8539125638299665,0.42695628191498325,0.3756636139608854,-0.369616592176637
S002,5,Closed headphones,1.825,0.85,0.425,0.2612628687924935,-0.37161106994968846
S002,5,Individualized HRTF,2.65,0.574456264653803,0.2872281323269015,0.42324587393680785,-0.5417730257250374
S002,5,Real speakers,2.95,0.8020806277010643,0.4010403138505321,0.46982201597816303,-0.39681196851992556
S002,5,Non-individualized HRTF,4.125,0.25,0.125,0.6154239528859439,-0.9030899869919435
S002,6,Incongruous room,3.625,0.47871355387816905,0.23935677693908453,0.5593080109070125,-0.6209542717726623
S002,6,Closed headphones,2.125,0.25,0.125,0.32735893438633035,-0.9030899869919435
S002,6,Individualized HRTF,4.25,0.6454972243679028,0.3227486121839514,0.6283889300503115,-0.4911356165197842
S002,6,Real speakers,3.45,0.8020806277010644,0.4010403138505322,0.5378190950732742,-0.3968119685199255
S002,6,Non-individualized HRTF,4.825,0.6238322424070967,0.31191612120354834,0.6834973176798114,-0.5059621784047376
S003,1,Individualized HRTF,0.575,0.04999999999999999,0.024999999999999994,-0.24033215531036956,-1.6020599913279625
S003,1,Real speakers,1.125,0.27537852736430507,0.13768926368215254,0.05115252244738129,-0.8610999225272469
S003,1,Non-individualized HRTF,0.6,NA,NA,-0.2218487496163564,NA
S003,2,Individualized HRTF,1.6,0.1825741858350554,0.0912870929175277,0.2041199826559248,-1.0395906230238123
S003,2,Real speakers,2.1,0.6055300708194983,0.30276503540974914,0.3222192947339193,-0.5188942804447
S003,2,Non-individualized HRTF,1.7,NA,NA,0.2304489213782739,NA
S003,3,Individualized HRTF,2.475,0.4112987559751022,0.2056493779875511,0.39357520326958756,-0.6868725997311872
S003,3,Real speakers,2.825,0.23629078131263043,0.11814539065631521,0.4510184521554574,-0.9275832173373804
S003,3,Non-individualized HRTF,2.7,NA,NA,0.43136376415898736,NA
S003,4,Individualized HRTF,2.4749999999999996,0.3947573094109003,0.19737865470545016,0.39357520326958745,-0.7046998154195442
S003,4,Real speakers,3.225,0.4856267428111155,0.24281337140555775,0.5085297189712866,-0.6147274009256485
S003,4,Non-individualized HRTF,2.5,NA,NA,0.3979400086720376,NA
S003,5,Individualized HRTF,2.45,0.1914854215512678,0.0957427107756339,0.3891660843645325,-1.0188942804446994
S003,5,Real speakers,3.3,0.21602468994692867,0.10801234497346433,0.5185139398778874,-0.9665266051846935
S003,5,Non-individualized HRTF,2,NA,NA,0.3010299956639812,NA
S003,6,Individualized HRTF,3.05,0.5446711546122731,0.27233557730613656,0.48429983934678583,-0.5648956197013559
S003,6,Real speakers,3.3,0.41633319989322654,0.20816659994661327,0.5185139398778874,-0.6815889512064128
S003,6,Non-individualized HRTF,3,NA,NA,0.47712125471966244,NA
S004,1,Incongruous room,1.625,0.25,0.125,0.21085336531489318,-0.9030899869919435
S004,1,Closed headphones,1.875,0.25,0.125,0.27300127206373764,-0.9030899869919435
S004,1,Individualized HRTF,1.5,0,0,0.17609125905568124,-Inf
S004,1,Real speakers,1.625,0.25,0.125,0.21085336531489318,-0.9030899869919435
S004,1,Non-individualized HRTF,1.5,0,0,0.17609125905568124,-Inf
S004,2,Incongruous room,2.625,0.25,0.125,0.4191293077419757,-0.9030899869919435
S004,2,Closed headphones,2.375,0.25,0.125,0.3756636139608854,-0.9030899869919435
S004,2,Individualized HRTF,3.25,0.28867513459481287,0.14433756729740643,0.5118833609788743,-0.8406206186877936
