subject,condition,signed_bias_ind,sd_signed_bias_ind,sem_signed_bias_ind,unsigned_bias_ind,sd_unsigned_bias_ind,sem_unsigned_bias_ind
S001,Incongruous room,0.5138888888888888,0.4297417117390091,0.08772065957923235,0.5138888888888888,0.4297417117390091,0.08772065957923235
S001,Closed headphones,0.12291666666666666,0.3804336611439647,0.07765569589846608,0.12291666666666666,0.3804336611439647,0.07765569589846608
S001,Individualized HRTF,0.6784722222222223,0.40293246238440034,0.08224824447041312,0.6784722222222223,0.40293246238440034,0.08224824447041312
S001,Real speakers,0.9534722222222223,0.5910765411143608,0.12065299372161553,0.9534722222222223,0.5910765411143608,0.12065299372161553
S001,Non-individualized HRTF,1.5013888888888889,0.6290456821323391,0.12840341217710102,1.5013888888888889,0.6290456821323391,0.12840341217710102
S002,Incongruous room,-0.2638888888888889,0.2531404999628014,0.05167208817849063,0.2638888888888889,0.2531404999628014,0.05167208817849063
S002,Closed headphones,-0.6596527777777778,0.15362211241191862,0.03135798238480659,0.6596527777777778,0.15362211241191862,0.03135798238480659
S002,Individualized HRTF,-0.1654861111111111,0.22652194824216643,0.046238599061204054,0.1654861111111111,0.22652194824216643,0.046238599061204054
S002,Real speakers,-0.2898611111111111,0.17787589759053726,0.03630876555303101,0.2898611111111111,0.17787589759053726,0.03630876555303101
S002,Non-individualized HRTF,-0.02430555555555557,0.20726416472090806,0.042307620460865614,0.02430555555555557,0.20726416472090806,0.042307620460865614
S003,Individualized HRTF,-0.3638194444444445,0.15662617358799913,0.03197118380459845,0.3638194444444445,0.15662617358799913,0.03197118380459845
S003,Real speakers,-0.1445138888888889,0.26315967451618677,0.05371724362012994,0.1445138888888889,0.26315967451618677,0.05371724362012994
S003,Non-individualized HRTF,-0.3541666666666667,0.1952028859076286,0.07969124446540188,0.3541666666666667,0.1952028859076286,0.07969124446540188
S004,Incongruous room,0.01840277777777778,0.38624429679095934,0.07884178693316304,0.01840277777777778,0.38624429679095934,0.07884178693316304
S004,Closed headphones,0.025694444444444443,0.45644152830353246,0.09317073681331504,0.025694444444444443,0.45644152830353246,0.09317073681331504
S004,Individualized HRTF,0.09392361111111111,0.3889669117081609,0.07939753837593252,0.09392361111111111,0.3889669117081609,0.07939753837593252
S004,Real speakers,0.10225694444444444,0.40328695379275087,0.08232060472613474,0.10225694444444444,0.40328695379275087,0.08232060472613474
S004,Non-individualized HRTF,0.1579861111111111,0.37112310911280144,0.07575518742346746,0.1579861111111111,0.37112310911280144,0.07575518742346746
S005,Incongruous room,-0.39895833333333336,0.5540166926843874,0.11308818383842226,0.39895833333333336,0.5540166926843874,0.11308818383842226
S005,Closed headphones,-0.4184027777777778,0.6115088804832052,0.12482372753036963,0.4184027777777778,0.6115088804832052,0.12482372753036963
S005,Individualized HRTF,-0.3715277777777778,0.22503242743601548,0.045934551899843315,0.3715277777777778,0.22503242743601548,0.045934551899843315
S005,Real speakers,-0.44479166666666664,0.16344370161934602,0.033362805886591865,0.44479166666666664,0.16344370161934602,0.033362805886591865
S005,Non-individualized HRTF,-0.4670138888888889,0.17163745295724053,0.035035348374682584,0.4670138888888889,0.17163745295724053,0.035035348374682584
S006,Incongruous room,-0.9457465277777778,0.04139621997818505,0.008449968018880032,0.9457465277777778,0.04139621997818505,0.008449968018880032
S006,Closed headphones,-0.8808333333333334,0.08081857776574204,0.01649702310529248,0.8808333333333334,0.08081857776574204,0.01649702310529248
S006,Individualized HRTF,-0.1326388888888889,0.22287532349469813,0.04549423490164548,0.1326388888888889,0.22287532349469813,0.04549423490164548
S006,Real speakers,-0.061111111111111116,0.1897695441085727,0.03873654598221573,0.061111111111111116,0.1897695441085727,0.03873654598221573
S006,Non-individualized HRTF,-0.11388888888888889,0.26733009262314666,0.054568526651472896,0.11388888888888889,0.26733009262314666,0.054568526651472896
S007,Incongruous room,0.6583333333333333,0.7545033878776427,0.1540123591251203,0.6583333333333333,0.7545033878776427,0.1540123591251203
S007,Closed headphones,1.2416666666666667,1.596107886852712,0.32580415810175434,1.2416666666666667,1.596107886852712,0.32580415810175434
S007,Individualized HRTF,-0.13159722222222223,0.24192239301717441,0.049382201687094125,0.13159722222222223,0.24192239301717441,0.049382201687094125
S007,Real speakers,0.05451388888888888,0.34052902831092574,0.06951019683062792,0.05451388888888888,0.34052902831092574,0.06951019683062792
S007,Non-individualized HRTF,0.0069444444444444415,0.289882396055147,0.059171996312541116,0.0069444444444444415,0.289882396055147,0.059171996312541116
S008,Incongruous room,-0.4492361111111111,0.2563130347434326,0.052319679128805543,0.4492361111111111,0.2563130347434326,0.052319679128805543
S008,Closed headphones,-0.0072916666666666685,0.41138179209188913,0.08397295667473703,0.0072916666666666685,0.41138179209188913,0.08397295667473703
S008,Individualized HRTF,-0.02326388888888889,0.3411314220966854,0.06963315994723915,0.02326388888888889,0.3411314220966854,0.06963315994723915
S008,Real speakers,0.3375,0.3340662232939657,0.06819098228074032,0.3375,0.3340662232939657,0.06819098228074032
S008,Non-individualized HRTF,0.22430555555555556,0.48189388769895214,0.09836617791904101,0.22430555555555556,0.48189388769895214,0.09836617791904101
S009,Incongruous room,-0.8591666666666666,0.08025924179631781,0.016382849128636287,0.8591666666666666,0.08025924179631781,0.016382849128636287
S009,Closed headphones,-0.7097222222222223,0.16427021060861202,0.0335315163275523,0.7097222222222223,0.16427021060861202,0.0335315163275523
S009,Individualized HRTF,-0.12638888888888888,0.18513062803435015,0.037789631203762386,0.12638888888888888,0.18513062803435015,0.037789631203762386
S009,Real speakers,-0.196875,0.23957506286922323,0.048903054927066446,0.196875,0.23957506286922323,0.048903054927066446
S009,Non-individualized HRTF,-0.23333333333333334,0.20263958629144294,0.04136363234189302,0.23333333333333334,0.20263958629144294,0.04136363234189302
S010,Incongruous room,-0.33541666666666664,0.1887738531493444,0.03853330141624809,0.33541666666666664,0.1887738531493444,0.03853330141624809
S010,Closed headphones,0.8277777777777778,0.6404570127535377,0.13073274028611215,0.8277777777777778,0.6404570127535377,0.13073274028611215
S010,Individualized HRTF,0.975,0.926426957839937,0.1891061108888958,0.975,0.926426957839937,0.1891061108888958
S010,Real speakers,0.5166666666666666,0.5012062743707415,0.10230830234080855,0.5166666666666666,0.5012062743707415,0.10230830234080855
S010,Non-individualized HRTF,0.6836805555555555,0.7516346082637324,0.15342677193857207,0.6836805555555555,0.7516346082637324,0.15342677193857207
S011,Incongruous room,-0.02725694444444447,0.6658202271100698,0.13590998473697352,0.02725694444444447,0.6658202271100698,0.13590998473697352
S011,Closed headphones,0.12763888888888889,0.744682221021798,0.15200762183549082,0.12763888888888889,0.744682221021798,0.15200762183549082
S011,Individualized HRTF,-0.24791666666666667,0.16714153364897488,0.03411762268885112,0.24791666666666667,0.16714153364897488,0.03411762268885112
S011,Real speakers,-0.2109375,0.19391331553876517,0.03958238978344027,0.2109375,0.19391331553876517,0.03958238978344027
S011,Non-individualized HRTF,-0.3524305555555555,0.17265473293119615,0.03524299977982783,0.3524305555555555,0.17265473293119615,0.03524299977982783
S012,Closed headphones,1.7506944444444446,1.2451498092615305,0.25416514050121247,1.7506944444444446,1.2451498092615305,0.25416514050121247
S012,Individualized HRTF,-0.671875,0.06014939633302277,0.01227794411269495,0.671875,0.06014939633302277,0.01227794411269495
S012,Real speakers,-0.6234722222222222,0.10266369827567723,0.02095613965687154,0.6234722222222222,0.10266369827567723,0.02095613965687154
S012,Non-individualized HRTF,-0.5579861111111111,0.10335317617647216,0.02109687874402761,0.5579861111111111,0.10335317617647216,0.02109687874402761
S013,Incongruous room,-0.9316319444444444,0.0333056761771919,0.006798492681040802,0.9316319444444444,0.0333056761771919,0.006798492681040802
S013,Closed headphones,-0.8676388888888888,0.060455530561920885,0.012340433500495013,0.8676388888888888,0.060455530561920885,0.012340433500495013
S014,Incongruous room,0.06430555555555555,0.2800443877284968,0.05716382127207903,0.06430555555555555,0.2800443877284968,0.05716382127207903
S014,Closed headphones,0.06937499999999999,0.31876452794400184,0.06506753679682953,0.06937499999999999,0.31876452794400184,0.06506753679682953
S014,Individualized HRTF,0.1736111111111111,0.4808134378288313,0.09814563201283664,0.1736111111111111,0.4808134378288313,0.09814563201283664
S014,Real speakers,0.19166666666666665,0.39854808958285687,0.08135328811991993,0.19166666666666665,0.39854808958285687,0.08135328811991993
S014,Non-individualized HRTF,0.6173611111111111,0.5617966169427986,0.11467625422763962,0.6173611111111111,0.5617966169427986,0.11467625422763962
S015,Incongruous room,-0.08541666666666667,0.3167739139518696,0.06466120441719882,0.08541666666666667,0.3167739139518696,0.06466120441719882
S015,Closed headphones,-0.1782638888888889,0.9345595566982894,0.19076617067937116,0.1782638888888889,0.9345595566982894,0.19076617067937116
S015,Individualized HRTF,0.21805555555555556,0.3927764624266491,0.08017515966006161,0.21805555555555556,0.3927764624266491,0.08017515966006161
S015,Real speakers,0.3038194444444444,0.47683651559066254,0.09733384616031658,0.3038194444444444,0.47683651559066254,0.09733384616031658
S015,Non-individualized HRTF,0.052083333333333336,0.3269058758891024,0.06672938248715893,0.052083333333333336,0.3269058758891024,0.06672938248715893
S016,Incongruous room,-0.17604166666666668,0.24783254266318325,0.05058860593177848,0.17604166666666668,0.24783254266318325,0.05058860593177848
S016,Closed headphones,-0.005555555555555559,0.4230287237614181,0.08635037664635435,0.005555555555555559,0.4230287237614181,0.08635037664635435
